Theta1_Value,Cost Function
1056.415806551852,64297702674.44179
2100.4266937820903,63030946041.44867
3130.9977457586974,61790623275.8964
4148.326094444787,60576167231.76145
5152.605851723867,59387023349.8002
6144.028156269571,58222649366.56627
7122.781219685299,57082515030.47464
8089.050371925168,55966101824.73317
9043.018106007456,54872902696.96713
9984.86412203159,53802421795.36733
10914.765370509534,52754174211.19614
11832.89609502227,51727685727.49119
12739.427874211871,50722492573.809494
13634.529663119569,49738141186.86026
14518.36783387998,48774187976.877335
15391.106215781547,47830199099.58744
16252.90613470306,46905750233.63304
17103.926451936015,46000426363.31313
17944.32360240235,45113821566.508545
18774.251632277017,44245538807.661964
19593.86223602466,43395189735.6862
20403.30479285952,42562394486.67745
21202.72640263757,41746781491.314
21992.271921189764,40947987286.823204
22772.083995105037,40165656333.403435
23542.303095971733,39399440834.989845
24303.06755408581,38649000564.25654
25054.513591634222,37914002691.74975
25796.77535536158,37194121619.04994
26529.984948728226,36489038815.863045
27254.272463567577,35798442660.94388
27969.766011250606,35122028286.75714
28676.591753365108,34459497427.78388
29374.87393191733,33810558272.383743
30064.734899063402,33174925318.125645
30746.295146377917,32552319230.501537
31419.67333366686,31942466704.94057
32084.986317331983,31345100332.04271
32742.349178293673,30759958465.952938
33391.8752494791,30186785095.799618
34033.676142882505,29625329720.122025
34667.8617762043,29075347224.214207
35294.54039907545,28536597760.31447
35913.81861887373,28008846630.57095
36525.80142613813,27491864172.716133
37130.59221958771,26985425648.38456
37728.292830751045,26489311134.00974
38319.00354821241,26003305414.23784
38902.823141480534,25527197877.797344
39479.848884485946,25060782415.765553
40050.17657871265,24603857322.17401
40613.9005759698,24156225196.896614
41171.113800809035,23717692850.765644
41721.90777259298,23288071212.862
42266.37262722035,22867175239.927788
42804.597138512974,22454823827.85015
43336.668739270106,22050839725.16699
43862.67354199509,21655049448.546192
44382.6963592996,21267283200.19127
44896.820723990364,20887374787.127514
45405.12890884343,20515161542.32387
45907.701946070774,20150484247.60696
46404.61964648409,19793187058.32455
46895.96061836043,19443117429.717148
47381.80228601438,19100126044.95706
47862.2209080814,18764066744.815693
48337.291595516646,18434796458.920334
48807.08832931396,18112175138.56314
49271.68397794918,17796065691.025585
49731.150314552164,17486333915.382706
50185.55803381178,17182848439.75239
50634.976768617926,16885480659.955702
51079.47510644478,16594104679.555073
51519.12060547925,16308597251.23824
51953.979810498626,16028837719.51625
52384.11826850134,15754707964.704834
52809.60054409466,15486092348.159254
53230.490234643104,15222877658.733286
53646.849985181376,14964953060.433859
54058.74150309539,14712210041.243479
54466.225572575066,14464542363.083355
54869.36206884242,14221846012.89062
55268.209972158475,13984019154.78393
55662.82738161243,13750962083.29213
56053.27152869647,13522577177.621367
56439.598790669574,13298768856.936789
56821.86470371361,13079443536.635155
57200.12397588491,12864509585.585743
57574.4304998646,12653877284.317083
57944.837365510706,12447458784.127792
58311.39687221528,12245168067.100256
58674.160541069374,12046920906.996498
59033.17912683909,11852634831.015833
59388.50262975544,11662229082.39472
59740.18030712111,11475624583.82945
60088.26068473675,11292743901.702864
60432.79156814987,11113511211.096748
60773.82005372891,10937852261.571964
61111.39253956524,10765694343.69885
61445.55473620587,10596966256.32073
61776.35167721938,10431598274.533964
62103.82772959776,10269522118.368174
62428.02660399665,10110670922.150787
62748.9913648166,9954979204.540379
63066.76444012764,9802382839.213667
63381.38763143988,9652819026.191357
63692.90212332222,9506226263.788414
64001.348492871795,9362544321.174662
64306.766719036335,9221714211.531914
64609.196191791816,9083678165.794231
64908.67572117757,8948379606.958162
65205.24354619116,8815763124.950142
65498.937343545134,8685774452.03854
65789.79423628788,8558360438.778145
66077.85080229065,8433469030.475137
66363.14308260278,8311049244.160852
66645.70658967737,8191051146.06305
66925.57631546918,8073425829.563447
67202.78673940687,7958125393.630753
67477.3718362416,7845102921.718534
67749.36508377371,7734312461.117585
68018.79947045965,7625709002.752654
68285.70750290081,7519248461.41366
68550.12121321616,7414887656.41174
68812.07216630051,7312584292.650692
69071.5914669702,7212296942.1045685
69328.70976699797,7113985025.692493
69583.45727203863,7017608795.5418
69835.86374844742,6923129317.631009
70085.95852999254,6830508454.804162
70333.77052446363,6739708850.148367
70579.32822017776,6650693910.726525
70822.65969238456,6563427791.657364
71063.79260957202,6477875380.535241
71302.7542396745,6394002282.1821
71539.57145618458,6311774803.724389
71774.27074417012,6231159939.987763
72006.87820619803,6152125359.202564
72237.4195681663,6074639389.013323
72465.92018504554,5998671002.785574
72692.40504653167,5924189806.203533
72916.89878261092,5851166024.15218
73139.42566903868,5779570487.877636
73360.00963273334,5709374622.419704
73578.67425708675,5640550434.310634
73795.44278719225,5573070499.534319
74010.33813499185,5506907951.740261
74223.38288434355,5442036470.706754
74434.59929601032,5378430271.047851
74644.00931257175,5316064091.158825
74851.63456325966,5254913182.394985
75057.49636871881,5194953298.478714
75261.61574569397,5136160685.129831
75464.01341164435,5078512069.914445
75664.70978928669,5021984652.307541
75863.72501106793,4966556093.964703
76061.07892356878,4912204509.198424
76256.79109183906,4858908455.654636
76450.88080366592,4806646925.185085
76643.36707377616,4755399334.911365
76834.2686479734,4705145518.476469
77023.60400721131,4655865717.479828
77211.39137160385,4607540573.091881
77397.64870437344,4560151117.844319
77582.39371573809,4513678767.59224
77765.64386673846,4468105313.644522
77947.41637300569,4423412915.058777
78127.72820847099,4379584091.097422
78306.59610901792,4336601713.841349
78484.03657607819,4294449000.9578547
78660.06588017182,4253109508.6195407
78834.70006439279,4212567124.5709295
79007.95494784052,4172806061.339648
79179.84612899867,4133810849.5891223
79350.38898906145,4095566331.6097326
79519.59869520874,4058057654.945469
79687.49020383053,4021270266.1532497
79854.07826370158,3985189904.692031
80019.3774191071,3949802596.938974
80183.4020129201,3915094650.3299384
80346.16618963123,3881052647.621724
80507.68389833196,3847663441.273373
80667.96889565159,3814914147.9441366
80827.03474864893,3782792143.105503
80984.8948376595,3751285055.7649517
81141.56235909865,3720380763.2990704
81297.05032822146,3690067386.3936405
81451.37158184015,3660333284.0885386
81604.53878099949,3631167048.925153
81756.56441361099,3602557502.1941795
81907.46079704649,3574493689.281689
82057.24008069167,3546964875.1113753
82205.91424846035,3519960539.6809616
82353.4951212699,3493470373.690775
82499.99435947851,3467484274.2625666
82645.42346528507,3441992340.746649
82789.7937850918,3416984870.6155167
82933.1165118307,3392452355.442129
83075.4026872541,3368385476.9610453
83216.66320418994,3344775103.210715
83356.90880876227,3321612284.755213
83496.15010257761,3298888250.983702
83634.39754487769,3276594406.4860697
83771.66145465897,3254722327.5030684
83907.9520127596,3233263758.449484
84043.27926391427,3212210608.508682
84177.65311877738,3191554948.297193
84311.0833559152,3171289006.597722
84443.57962376726,3151405167.1592474
84575.15144257773,3131895965.562782
84705.80820629693,3112754086.1514096
84835.5591844538,3093972359.023273
84964.41352399942,3075543757.086209
85092.38025112229,3057461393.1727047
85219.46827303572,3039718517.2139626
85345.68637973772,3022308513.4718256
85471.0432457439,3005224897.8273497
85595.54743179375,2988461315.124851
85719.20738653066,2972011536.5702887
85842.03144815625,2955869457.1828218
85964.02784605927,2940029093.2984686
86085.20470241943,2924484580.1247644
86205.57003378675,2909230169.345364
86325.13175263657,2894260226.7735543
86443.89766890081,2879569230.053679
86561.87549147564,2865151766.409428
86679.07282970613,2851002530.438103
86795.4971948481,2837116321.9498234
86911.15600150754,2823488043.8508024
87026.05656905806,2810112700.069753
87140.20612303652,2796985393.5265317
87253.61179651739,2784101324.1421633
87366.28063146597,2771455786.8893685
87478.21958007092,2759044169.8827753
87589.43550605646,2746861952.507994
87699.93518597439,2734904703.588733
87809.72531047641,2723168079.5912023
87918.81248556693,2711647822.865007
88027.20323383679,2700339759.9197917
88134.90399567802,2689239799.736905
88241.92113048011,2678343932.1153426
88348.26091780797,2667648226.0512853
88453.92955856188,2657148828.150527
88558.93317611972,2646841961.0731153
88663.27781746179,2636723922.009547
88766.96945427841,2626791081.1878805
88870.01398406067,2617039880.4110928
88972.41723117443,2607466831.6241083
89074.18494791805,2598068515.5098515
89175.32281556394,2588841580.1137486
89275.83644538416,2579782739.496083
89375.73137966053,2570888772.411638
89475.01309267918,2562156521.016075
89573.68699171006,2553582889.598477
89671.75841797148,2545164843.3395424
89769.23264757998,2536899407.094899
89866.11489248568,2528783664.203012
89962.41030139352,2520814755.317195
90058.1239606703,2512989877.261229
90153.2608952381,2505306281.908105
90247.82606945393,2497761275.0814013
90341.82438797624,2490352215.4788685
90435.260696618,2483076513.617737
90528.13978318697,2475931630.801306
90620.46637831318,2468915078.1064
90712.24515626386,2462024415.3912473
90803.48073574589,2455257250.3233666
90894.17768069624,2448611237.4270573
90984.34050106026,2442084077.1501
91073.97365355823,2435673514.9492526
91163.08154244033,2429377340.394189
91251.66852023004,2423193386.2894797
91339.73888845644,2417119527.8142643
91427.29689837527,2411153681.6792355
91514.3467516791,2405293805.300606
91600.89260119684,2399537895.990696
91686.93855158256,2393883990.1648006
91772.48865999388,2388330162.5640316
91857.54693676022,2382874525.4937625
91942.1173460408,2377515228.077415
92026.20380647283,2372250455.525224
92109.81019180972,2367078428.4177175
92192.94033154991,2361997402.0035763
92275.59801155594,2357005665.5116167
92357.78697466437,2352101541.4765825
92439.51092128639,2347283385.078477
92520.77350999942,2342549583.495159
92601.57835812977,2337898555.2679358
92681.92904232653,2333328749.6798844
92761.82909912681,2328838646.1466446
92841.28202551244,2324426753.6194363
92920.29127945832,2320091610.0000434
92998.86028047258,2315831781.567531
93076.99241012844,2311645862.4164577
93154.69101258826,2307532473.906335
93231.9593951196,2303490264.12213
93308.80082860358,2299517907.3455744
93385.21854803554,2295614103.537053
93461.2157530183,2291777577.8278785
93536.7956082479,2288007080.022726
93611.96124399212,2284301384.1120195
93686.71575656178,2280659287.794095
